provider,ip_claim_sum,ip_claim_mean,ip_claim_max,ip_deductible_sum,ip_deductible_mean,ip_unique_patients,ip_deceased_patients,op_claim_sum,op_claim_mean,op_claim_max,op_deductible_sum,op_deductible_mean,op_unique_patients,op_deceased_patients,potentialfraud,total_claim_sum,total_claim_mean,total_deductible_sum,total_deductible_mean,total_unique_patients,total_deceased_patients,deceased_patient_ratio,claim_per_patient,ip_op_claim_ratio,ip_max_mean_ratio,chronic_cond_ratio,avg_claim_per_deceased
PRV51001,97000.0,19400.0,42000.0,5340.0,1068.0,5.0,0.0,7640.0,382.0,1500.0,0.0,0.0,19.0,0.0,No,104640.0,4359.999818333341,5340.0,222.49999072916705,24.0,0.0,0.0,4359.999818333341,12.696335076872208,2.164948453496652,0.0,0.0
PRV51003,573000.0,9241.935483870968,57000.0,66216.0,1068.0,53.0,1.0,32670.0,466.7142857142857,3300.0,70.0,1.0,66.0,0.0,Yes,605670.0,5089.663822775934,66286.0,557.0252054031496,119.0,1.0,0.008403361273921333,5089.663822775934,17.539026629398865,6.1675392663483635,0.0,605670.0
PRV51004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52170.0,350.13422818791946,3300.0,310.0,2.0805369127516777,138.0,1.0,No,52170.0,378.0434755214241,310.0,2.24637679531611,138.0,1.0,0.007246376759084227,378.0434755214241,0.0,0.0,0.0,52170.0
PRV51005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280910.0,241.1244635193133,4080.0,3700.0,3.1759656652360513,495.0,4.0,Yes,280910.0,567.4949483484951,3700.0,7.4747474596469745,495.0,4.0,0.008080808064483216,567.4949483484951,0.0,0.0,0.0,70227.5
PRV51007,19000.0,6333.333333333333,10000.0,3204.0,1068.0,3.0,0.0,14710.0,213.18840579710144,3300.0,60.0,0.8695652173913043,56.0,1.0,No,33710.0,571.3559225193911,3264.0,55.32203296064351,59.0,1.0,0.016949152255099114,571.3559225193911,1.291638341176639,1.5789473681717452,0.0,33710.0
PRV51008,25000.0,12500.0,21000.0,2136.0,1068.0,2.0,0.0,10630.0,259.2682926829268,1900.0,180.0,4.390243902439025,34.0,0.0,No,35630.0,989.7221947299391,2316.0,64.33333154629635,36.0,0.0,0.0,989.7221947299391,2.3518344306348227,1.6799999998656,0.0,0.0
PRV51011,5000.0,5000.0,5000.0,1068.0,1068.0,1.0,0.0,11630.0,204.03508771929825,1600.0,300.0,5.2631578947368425,52.0,1.0,No,16630.0,313.7735789854042,1368.0,25.81132026771094,53.0,1.0,0.01886792417230332,313.7735789854042,0.429922613892526,0.9999999998,0.0,16630.0
PRV51012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16890.0,351.875,3300.0,100.0,2.0833333333333335,31.0,0.0,No,16890.0,544.8386921019777,100.0,3.225806347554634,31.0,0.0,0.0,544.8386921019777,0.0,0.0,0.0,0.0
PRV51013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14880.0,323.4782608695652,1800.0,230.0,5.0,44.0,0.0,No,14880.0,338.181810495868,230.0,5.227272608471077,44.0,0.0,0.0,338.181810495868,0.0,0.0,0.0,0.0
PRV51014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10480.0,349.3333333333333,3300.0,120.0,4.0,25.0,1.0,No,10480.0,419.19998323200065,120.0,4.799999808000008,25.0,1.0,0.03999999840000006,419.19998323200065,0.0,0.0,0.0,10480.0
PRV51015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,87.5,200.0,0.0,0.0,7.0,0.0,No,700.0,99.99998571428776,0.0,0.0,7.0,0.0,0.0,99.99998571428776,0.0,0.0,0.0,0.0
PRV51016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,28.333333333333332,90.0,0.0,0.0,6.0,0.0,No,170.0,28.3333286111119,0.0,0.0,6.0,0.0,0.0,28.3333286111119,0.0,0.0,0.0,0.0
PRV51017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142720.0,277.126213592233,3300.0,1050.0,2.0388349514563107,420.0,5.0,No,142720.0,339.8095230004535,1050.0,2.499999994047619,420.0,5.0,0.011904761876417234,339.8095230004535,0.0,0.0,0.0,28544.0
PRV51021,269000.0,9275.862068965518,57000.0,30972.0,1068.0,23.0,0.0,79830.0,350.13157894736844,3300.0,520.0,2.280701754385965,187.0,1.0,Yes,348830.0,1661.0952301852608,31492.0,149.96190404780046,210.0,1.0,0.004761904739229025,1661.0952301852608,3.3696605285811145,6.144981411976934,0.0,348830.0
PRV51023,54000.0,6000.0,13000.0,8544.0,949.3333333333334,9.0,0.0,11610.0,430.0,2200.0,80.0,2.962962962962963,27.0,0.0,No,65610.0,1822.4999493750015,8624.0,239.55554890123477,36.0,0.0,0.0,1822.4999493750015,4.651162790297057,2.1666666663055554,0.0,0.0
PRV51024,61000.0,6777.777777777777,13000.0,9612.0,1068.0,9.0,0.0,3050.0,101.66666666666667,400.0,90.0,3.0,29.0,0.0,No,64050.0,1685.5262714335192,9702.0,255.31578275484785,38.0,0.0,0.0,1685.5262714335192,19.999999993442625,1.9180327866022575,0.0,0.0
